,Reviewer_designation,Job_Title,Employee_Status,City,State,Full_Location,Date,Title,Comment,Pros,Cons,User_Rating,Company
10,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Clearbrook, VA ," Clearbrook, VA "," December 19, 2021",Don't work here.,"Just don't do it, out of my 2 years there, I wish I would've moved on sooner. Management doesn't care about you, Amazon policies are made to get you fired or make you quit and the work culture there is robotic. You live by your rate, nothing else matters to Management.",You make decent friends.,"Short breaks, management does not care at all about you, time off is garbage.",1,Amazon.com
11,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Saint,Hubert," Saint,Hubert, QC "," December 19, 2021",Very exausthing.,The work itself is very exausting. You have to stay on your feet for 10 hours. Very competitive environment. I wouldn't recommend if you dont like physical labor, , ,3,Amazon.com
12,Inbound Stower (Current  Employee),Inbound Stower ,Current Employee, Castleton, Castleton, Castleton,on,Very physical job and a workout.,"Long hours and physical work but the pay is fair and benefits okay.

You will be moving and lifting. The 10 hour days are tough and the early start time rough but if you don't mind physical work and need health benefits, this is the place for you.",Management tries to keep things interesting and people engaged.,Tough to move up but able to do different jobs.,3,Amazon.com
13,N/A (Former  Employee),N/A ,Former Employee, Nashville, TN ," Nashville, TN "," December 19, 2021",Na,Okay place to work if you enjoy managers and hire ups watching your every move. Other than that pay is nice as well as a set schedule with overtime in peak.,Na,Na,3,Amazon.com
14,Customer Support (Current  Employee),Customer Support ,Current Employee, Athens, TX ," Athens, TX "," December 19, 2021","Great enviroment, Salary compensation.","Have been working in customer support, for the past two years now, mostly remotely, due to Covid-19.
Love my job, great support from Management and all colleagues.","Working remotely, Salary",No complaints,5,Amazon.com
15,Préparateur de commandes (Former  Employee),Préparateur de commandes ,Former Employee, Brétigny, Brétigny, Brétigny,sur,Sans plus,"Je n’ai pas spécialement aimée, beaucoup trop de stress", , ,3,Amazon.com
16,Picker/Packer (Former  Employee),Picker/Packer ,Former Employee, Pennsylvania , Pennsylvania , Pennsylvania ," December 19, 2021",hard labor,a job is a job just hard labor wasn’t for me management only cared about themselves and getting the work done. long hours and kind of a very high oases hard job,pay,long hours hard labor,2,Amazon.com
17,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Hazel Park, MI ," Hazel Park, MI "," December 19, 2021",Okay,Robotic low energy crazy people. The nosiness was the only thing bothering me extremely easy but overall overwhelming. The pay is okay if you slave for it but that’s any job,Pay is okay,Short breaks,3,Amazon.com
18,Amazon Warehouse Associate (Former  Employee),Amazon Warehouse Associate ,Former Employee, Greenville, WI ," Greenville, WI "," December 19, 2021",The work is really simple and repetitive for the entry level hires,"Don’t plan on working here long term. My first day was on June 13th and right away they sat us down to watch interactive videos for a 2 days. When you finish the videos, a manager will then show you the the suites of the low end work of the shift.",No experience required,15 min break for part time. Only a few penalty’s will result in termination.,2,Amazon.com
19,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Charlotte, NC ," Charlotte, NC "," December 19, 2021",It’s like being expected to work like a machine but being treated as a criminal if you don’t meet their quota,"You can’t take any extra few min to catch your breath, cool off, get some water, or use the bathroom without having a manager come up to your station and grill you on why you’re not working", , ,3,Amazon.com
20,Warehouse Operative (Former  Employee),Warehouse Operative ,Former Employee, Leicestershire , Leicestershire , Leicestershire ," December 19, 2021",Muito bom,"Bem organizados, ritmo acelarado.
Bom salário semanal
Boas condições para os funcionários em todos os aspetos, mas são exigentes.
Dão benefícios aos funcionários.","Chá, café, sumos de oferta Boas condições nas cantinas",Não podemos demorar mais de dez minutos a fazer alguma coisa,5,Amazon.com
21,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Oak Creek, WI ," Oak Creek, WI "," December 19, 2021",Manager was oka at first but not understanding of my disability and didn’t allow accommodations,They require you to be young and fast. I would not recommend it for people with disabilities. I tried to talk to them but they are too rushed to listen to you.,Good pay and benefits,Must be quick to return from breaks. I felted rushed,2,Amazon.com
22,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, West Deptford, NJ ," West Deptford, NJ "," December 19, 2021",Good for temporary need,Extremely high turnover rate and no protection for employees. Literally everyday people were fired and the productivity expectations were a bit extreme.,"pay is ok, but you are working an extreme shift","short breaks, unrealistic productivity expectations, no protection/job security for employees",2,Amazon.com
23,Picker/Packer (Current  Employee),Picker/Packer ,Current Employee, Duluth, GA ," Duluth, GA "," December 18, 2021",Not fun,"It is not a good place to work. Freezing cold temperatures, long hours, and terrible management. Short breaks and very strict pick rates which are montiored",Pay,Shortbreaks,1,Amazon.com
24,Amazon Associate (Former  Employee),Amazon Associate ,Former Employee, Ottawa, ON ," Ottawa, ON "," December 18, 2021",Great people to work with. The parking lot is terrible but other then that everything is great,Good place to work. Everyone is friendly and great to work with. Fast paced and demanding job but great for a good work out . I recommend this job for people that like to be physically active 👌,Great work/ life balance/ physically demanding,Very physically demanding,5,Amazon.com
25,Software Development Engineer (Current  Employee),Software Development Engineer ,Current Employee, Seattle, WA ," Seattle, WA "," December 18, 2021",Good place to learn and grow as an engineer,Amazon is an exceptionally good place to grow as an engineer. You will be given interesting work and excellent pay. Work life balance has a reputation of being "hit or miss" at the company (mind has been good) so that's something to watch out for. Regardless after a few years at Amazon you will come out a far more skilled individual and companies will be lining up to hire you.,Excellent pay Interesting work Flexible work environment,Basic benefits Can be stressful at times,5,Amazon.com
26,Operatore di magazzino (Former  Employee),Operatore di magazzino ,Former Employee, Castel San Giovanni, Emilia," Castel San Giovanni, Emilia,Romagna "," December 18, 2021","ottima azienda in cui lavorare,non credete ai sindacati che ne parlano male!!!","ambiente lavorativo sereno,i capi non assillano,c'e' la musica mentre si lavora e lo stipendio e' giusto per il lavoro svolto", , ,4,Amazon.com
27,Sortation Associate (Former  Employee),Sortation Associate ,Former Employee, Bathgate, West Lothian ," Bathgate, West Lothian "," December 18, 2021",good pay,"good money, hard work and long hours. not bad for a few weeks. wouldnt recommend for long term. work life balance is bad. you won't have much time off.",long hours, ,3,Amazon.com
28,Associate (Current  Employee),Associate ,Current Employee, Ottawa, ON ," Ottawa, ON "," December 18, 2021",Pass on working here,"I definitely would recommend this place to anyone. You will be in constant pain, lifting over 50lbs... you do meet some nice people. PA mess around, its more like a social gathering. No hope for any promotions or moving up the ladder. Promises to be trained never get fulfilled. You can do everything they taught to not hurt yourself and you will still hurt yourself and blame it on music you were listening to. You want a promotion well let's just say you better be bff's with someone in management.",Benefits,"Long hour, Favoritism, Back stabbing, No one cares",1,Amazon.com
29,Inbound stow (Current  Employee),Inbound stow ,Current Employee, Brampton, ON ," Brampton, ON "," December 18, 2021",Inbound stow is fast paced and physically demanding,"It’s a physically demanding job where you’re constantly bending down and stepping up a 2 step ladder step to stow an expected rate of about 2,000+ items during a full shift,
For most it’s okay and interaction with management and others is minimal so it’s mostly not very stressing,
You’ll occasionally and inevitably get a quality and performance call by a process assistant for errors out of your control which is annoying since the process assistants just work by their computers favouring a system that pits errors against the labourers. If you can brush it off then it’s fine,
This location is a largely Indian community so you’ll find a lot of nepotism going on. Especially since communication from management to staff is always in an Indian language. It’s not hard to see how this can be a barrier to diversity in promoting staff,
For an entry level position it’s a good job to get started in and not have to interact with others a lot. If you’re looking for advancement this job is probably best suited as a stepping stone for your secondary plan.","Fixed shift 4 day week (w/o OT), Low stress, Health dental vision benefits start on the day you start work","Physically demanding (bending down and stepping up to stow products into bins), Hard to advance your career from entry level position",3,Amazon.com
30,Dock Worker (Current  Employee),Dock Worker ,Current Employee, Romulus, MI ," Romulus, MI "," December 18, 2021","Crazy ppl are always complaining about their job, hours and pay. Turn over rate is for a reason.","They promise you everything but really nobody that works there is happy. They complain how the hate it and how hard the work is. Ppl do tend to act like teenagers in high school. Amazon entices ppl with pay, and benefits and act like it’s a happy and safe environment when act not true at all. You run down fast and everyday now they send amazon employees 10 to 15 confirmed case EVERYDAY!",Free shoes,A lot,2,Amazon.com
31,Warehouse Worker (Former  Employee),Warehouse Worker ,Former Employee, Georgia , Georgia , Georgia ," December 18, 2021","Instead, the managers wait for you to not meet expectations to communicate.","While working there, my first two months I was fine then they started cutting my hours and sometimes I wouldn’t even get my whole paycheck. I started working only once a week since they hired many new people.", , ,2,Amazon.com
32,Packer (Current  Employee),Packer ,Current Employee, GSO1 , GSO1 , GSO1 ," December 18, 2021",Energy in motion continues to stay in motion.,With every job there a pros and cons. I’m not being paid to be comfortable and I know there will be frustrations. I take each day as it comes at make the best of it.,Opportunities for advancement,Short breaks,5,Amazon.com
33,Amazon Fulfilment Associate (Former  Employee),Amazon Fulfilment Associate ,Former Employee, Durham , Durham , Durham ," December 18, 2021",awful,"awful company to work for , wouldn’t ever return to amazon ever, long hours long shifts hurts legs and feet for days, management are absolutely dreadful", , ,1,Amazon.com
34,Warehouse/Delivery Center Associate/Temporary Worker (Former  Employee),Warehouse/Delivery Center Associate/Temporary Worker ,Former Employee, Maple Grove, MN ," Maple Grove, MN "," December 18, 2021",Could be worse...,"Strict very strict attendance policy.
Doc note, don't care... ur a number.. meet ur quota and be on time from break and work hard n u will be fine.. be pokey, lazy and late.. u won't last long.",Decent pay,"Very strict attendance policy, very impersonal.. ur a number..",2,Amazon.com
35,Shift Manager (Former  Employee),Shift Manager ,Former Employee, Lansing, MI ," Lansing, MI "," December 17, 2021",Okay place to work,"The only thing about this place is the Hugh wirkiad and the amount you get paid for doing it other that things were great . My manager was amazing and my coworkers weee fun to be around, if I ever had to go back, I would!", , ,3,Amazon.com
36,Warehouse Worker (Former  Employee),Warehouse Worker ,Former Employee, Colorado Springs, CO ," Colorado Springs, CO "," December 17, 2021",Love love love,Loved the job. They were extremely supportive. Fast paced and easy. Had everything I needed to be a good employee. 10/10 would recommend this job to anyone., , ,5,Amazon.com
37,facility centre warehouse associate (Current  Employee),facility centre warehouse associate ,Current Employee, Swindon , Swindon , Swindon ," December 17, 2021",good place work.,"have a brief at start go to your station, you get two 30 minute breaks every 3 hours, learned on the job trained by experienced associates in there own field of work, the hardest part for me is the physical side of it as i worked in care before here for some time, obviously the money is really good and meeting other people from different cultures.","you get free coffee, a great wage, chance to cross train in other areas",need to be physically fit i think I'm getting there now,5,Amazon.com
38,Overnight Stocker (Former  Employee),Overnight Stocker ,Former Employee, Los Angeles, CA ," Los Angeles, CA "," December 17, 2021",Fun place to work,Its a good place to work at and meet a lot of great people. Benefits are good and the hours are good as well depending on the location. Can become a long term job if you like it, , ,5,Amazon.com
39,Picker/Packer (Current  Employee),Picker/Packer ,Current Employee, Easton, PA ," Easton, PA "," December 17, 2021",Physically hard work but you will not find better health insurance benefits anywhere else,"Can be boring and monotonous. Must make rate and not have a lot of unaccounted time off of your task. A lot of heavy lifting in some departments. Not a lot of time to talk to other people as you are working independently most of the day, so that is a plus or minus depending upon what you prefer. Must be somewhat in shape or your body will have aches and pains daily.
Overall the rate expected of you is fair and manageable. Management is friendly and tries their best to listen and accommodate. The benefits are amazing and the pay is decent with expected as well as unexpected raises. They try to make it fun with food, games and prizes when you have mandatory overtime. It is not a job I can see myself doing until the day I retire as it is too strenuous. However, it has been a good place for steady employment and I was even able to transfer to another state for several months. There is room for advancement and is fairly easy to transfer internally if you wish. Amazon offers fully paid training for trade school type jobs and even assists with obtaining the job when you graduate, as well as schedule accommodations while you attend classes. The hours are mandatory and not as flexible as the commercials make it seem, but they do offer a decent amount of paid time off, unpaid time off and vacation time as well as voluntary time off at random times depending on business needs.","Benefits and paid training for different career paths, steady employment, good management","Physically demanding especially in certain departments, can be mind numbingly boring and monotonous with no one to talk to",4,Amazon.com
40,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Toronto, ON ," Toronto, ON "," December 17, 2021",Good people to work with,"Work with fun coworkers
Managers are good depending on what department you work. Tiring - standing 10hr shift. Two 30min breaks Good Work/life balance",Easy work,Standing entire shift,5,Amazon.com
41,Amazon Warehouse Associate (Current  Employee),Amazon Warehouse Associate ,Current Employee, Campbellsville, KY ," Campbellsville, KY "," December 17, 2021","Physically demanding for pick, takes no mental capacity, LACK OF COMMUNICATION","Physically demanding for pick, takes no mental capacity, LACK OF COMMUNICATION amongst upper management & floor management, stow is super easy just need to watch for errors, pack is my jam.",Super cake job for the pay,Lack of communication,3,Amazon.com
42,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Fort Wayne, IN ," Fort Wayne, IN "," December 17, 2021",Good place to work,I've only been with Amazon for a couple of weeks. I came in from 5 years of asphalt seal coating and was quite skeptical as to whether or not I would enjoy the job. It is a very laid-back environment with little micro-managing and it turns out I like my job and am quite satisfied. The days go by quickly and I've never found a cooler community of co-workers.,Laid back workplace,Training protocol needs improvement,4,Amazon.com
43,HR Business Partner (Current  Employee),HR Business Partner ,Current Employee, Uk , Uk , Uk ," December 17, 2021","High pressure, high reward.",Complete mix - Amazing opportunity if you’re willing to completely commit. If you want work life balance it’s probably not for you. If you are there’s phenomenal potential to participate in a scale of project not seen elsewhere., , ,4,Amazon.com
44,Process Guide (Current  Employee),Process Guide ,Current Employee, Euclid, OH ," Euclid, OH "," December 17, 2021",Decent workplace,"Managers don’t keep their word when they say they will help you get to your goals. Worked really hard and gave my all to the the workplace, managers over promised and under delivered.", , ,3,Amazon.com
45,Transportation Associate (Current  Employee),Transportation Associate ,Current Employee, Phoenix, AZ ," Phoenix, AZ "," December 17, 2021",Excellent place to work if you like super large companies…,"Excellent place to work if you like super large companies…. I started work January in the middle of a pandemic and Amazon was the only one hiring. All they did was drug test and I did not have to go through an interview. I’ve been there almost one year and have thrown boxes watch conveyor belts, driven forklifts and now working towards my CDL. No other company has this advancement as well as benefits start from day one. They want to keep you and want to be competitive to other companies with similar positions. I recommend working here highly!","Benefits start from day one. They offer medical, dental, vision, stock purchase, 401(k).",1.3 million employees in the Amazon system. I miss free lunches from my hospitality days.,5,Amazon.com
46,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Breinigsville, PA ," Breinigsville, PA "," December 17, 2021",it's alright,"Decent pay with very little barrier to entry. Good if you need something ASAP. Total dead-end job, would not recommend long term. Coworkers are alright.", , ,4,Amazon.com
47,Order Picker & inventory counter (Former  Employee),Order Picker & inventory counter ,Former Employee, Salt Lake City, UT ," Salt Lake City, UT "," December 17, 2021",It's a job for kids,"They say safety is number one priority, but that's not true at all. They focus on production numbers first. Associates' health and safety are a distant second priority, if that. They only care about their numbers. Everyone saw what happened in the Illinois warehouse near St Louis. That could happen at any Amazon facility. And if you're not working, because your building is destroyed, they kick you to the curb and hire a hundred more kids to take your place. Of course they'll deny that. They don't want that accountability.","If you like burning energy with nothing to show for it, go for it.","If you have ANY health concerns, no matter how minor or chronic, it's not your best choice.",1,Amazon.com
48,Sortation Associate (Current  Employee),Sortation Associate ,Current Employee, Avonmouth, Bristol ," Avonmouth, Bristol "," December 17, 2021",Good Christmas time signing bonus opportunities. Physically demanding.,"Good Christmas time signing bonus opportunities. Physically demanding. Nice people, friendly managers. Can be a bit boring. I would recommend this job.", , ,5,Amazon.com
49,Warehouse Assistant (Former  Employee),Warehouse Assistant ,Former Employee, Hebron, KY ," Hebron, KY "," December 17, 2021",Bad,It's Amazon if you know you know it's place I don't recommend working..long hours no respect they really don't care your another cog in the machine there,None,Everything,1,Amazon.com
50,Amazon Fulfillment Associate (Current  Employee),Amazon Fulfillment Associate ,Current Employee, Rialto, CA ," Rialto, CA "," December 17, 2021",The associates,"Lack of communication between managers, inconsistencies with work performance; on what is expected of you. No encouragement from managers to help you to do job better. They treat you like a number, their only objective is to increase productivity. You are just there to do hard, intense, laborious tasks.",None,Yuck!!! Do not come here. Have lots of turnover,1,Amazon.com
51,Process Assistant (Former  Employee),Process Assistant ,Former Employee, Chattanooga, TN ," Chattanooga, TN "," December 17, 2021",Great benefits,It is a decent stable job for entry level. Culture varies by site. Most places burn through people with little effort of retention. Management can make or break morale.,Insurance,Inconsistent practices,3,Amazon.com
52,magazziniere (Former  Employee),magazziniere ,Former Employee, Genova, Liguria ," Genova, Liguria "," December 17, 2021",Lavoro accessibile ma estenuante,"Sono stata subito inserita, dalla prima sera, a svolgere una mansione che poi ho scoperto essere una delle più complicate all'interno di tutto il processo produttivo. C'è molta competitività, stress e tensione. La retribuzione è buona, ma l'azienda non da nessun tipo di sicurezza oltre a contratti di pochi mesi.","Buoni pasto, stipendio, entusiasmo","ritmi di lavoro, competitività e rigidità",3,Amazon.com
53,Transportation Area Manager (Current  Employee),Transportation Area Manager ,Current Employee, United States , United States , United States ," December 17, 2021","It's OK. Over-worked and under-paid but that's the story of America, right?","It's OK. Over-worked and under-paid but that's the story of America, right?
The most enjoyable part of the job.
The hardest part of the job.
A typical day at work can be interesting.", , ,3,Amazon.com
54,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, 5501 Holabird Avenue , 5501 Holabird Avenue , 5501 Holabird Avenue ," December 17, 2021",Never enough and CLICKY,"I did learn quite a lot of knowledge both good and bad. I also figured out that if you are not in with the good crowd and know people in your building...You will not succeed. After 3 years or close to it, especially if you make more money and you have stock and all of a sudden issues start to arise, and no matter what you do they find a technicality to terminate you and take ALL there stock back and what not and you of course lose big time ...However it sent his butt to the moon...Guess the joke is STILL on us hard workers to make others rich...",Instant insurance,"Short breaks, too much turn over, and no one cares about you....they appear to care but they surely do not....",3,Amazon.com
55,Picker (Former  Employee),Picker ,Former Employee, Charlotte, NC ," Charlotte, NC "," December 17, 2021",It’s okay.,Working at Amazon is not for the weak. It’s long hours and stressful work. You have to have a certain speed and get a unreasonable amount of work done every hour. You do however get good benefits but training isn’t great either.,Benefit,"Long hours, short breaks, rushed",2,Amazon.com
56,Mozo de almacén (Current  Employee),Mozo de almacén ,Current Employee, España , España , España ," December 17, 2021",La mejor empresa,Espectacular.... La seguridad y el trabajador es lo más. Importante nadie es más que nadie todos se respetan,Todo,No hay,5,Amazon.com
57,Amazon Fresh Associate (Current  Employee),Amazon Fresh Associate ,Current Employee, Virginia Beach, VA ," Virginia Beach, VA "," December 16, 2021",#NAME?,"I work in a fresh warehouse, so its a smaller warehouse location. This type of job is great for people in high school/college, or someone who wants some extra money on the side. Starting out, I enjoyed working here, but as time has went on, I am starting to feel like my work is really basic and monotonous, and mostly boring. They push pick rates hard, and aren't afraid to tell you when you're doing a bad job, but rarely will comment on when you are doing a good job. I have not received any raise since working here, and I have worked at Amazon for over a year.","Flexible Scheduling, Understanding Management, Easy, Easy to learn job tasks.","Short Training, Quick to tell you you're messing up, rare to comment when doing good job, Hard on rates, Hard to make relationships with coworkers because of pace, Monotonous, Basic work, Unchallenging mostly, No raise.",4,Amazon.com
58,Seasonal Warehouse Associate (Former  Employee),Seasonal Warehouse Associate ,Former Employee, Scarborough, ON ," Scarborough, ON "," December 16, 2021",Fast paced environment,"No security of tenure. Fast paced environment. Friendly co-workers . I worked at Amazon for 7 months and I was let go due to being a seasonal employee. But the time that I worked there, it was entertaining and tedious at the same time. Get to meet some great co-workers, upper management was relatively easy-going people, but the only part that I did not like were the breaks that they'd give", , ,4,Amazon.com
59,Workplace Health and Safety Specialist (Former  Employee),Workplace Health and Safety Specialist ,Former Employee, Oak Creek, WI ," Oak Creek, WI "," December 16, 2021",It's a good place to work as a stop gap.,"If you want to make it a career, especially in safety, this is more of a place to either retire at or get started. Good benefits, hours can be very painful around Christmas.", , ,3,Amazon.com
60,Singles (Current  Employee),Singles ,Current Employee, Akc1 , Akc1 , Akc1 ," December 16, 2021",The management is terrible,"Current worker. Been there for over a year with 2 Peak seasons under my belt. Management is like, one hand doesn't know what the other hand is doing. Poor training. And my manager has stopped my advancement twice, because I'm fast at what I do, and he *needs me* to stay in my position. Not fair at all. The inclusiveness is a major pro for me! And the benefits are good. Repetitive work, and they want you to work like a machine. Ouch.",Culture. Benefits. Co workers,"Short break, they expect machines not people, management",3,Amazon.com
61,Sales Associate (Former  Employee),Sales Associate ,Former Employee, Sanford, FL ," Sanford, FL "," December 16, 2021",Good,Good great to work for this place has its ups and downs but for the most part Amazon is pretty cool to work for and easy work I don’t know what else to say but I have to type so many words this is crazy holy cow,Good,Bad,4,Amazon.com
62,Process Assistant (Current  Employee),Process Assistant ,Current Employee, Rockford, IL ," Rockford, IL "," December 16, 2021","Productive, fast paced environment",Company has great morals and can advance very easily if shown dedication. They always try to engage workers to be positive and benefits are great! Benefits as soon as your day 1 starts and on site job training.,"Nice break rooms with games, free coffee, and snacks",Management contradicts itself at times,5,Amazon.com
63,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Staten Island, NY ," Staten Island, NY "," December 16, 2021","No career advancement, very very very repetitive tasks.","It’s the type of place to just get your buck and leave, pretty dead end if you ask me. If the people around like you then they do if they don’t they don’t. Career advancement at Amazon is like trying to swim to a particular point in the ocean that may be possible for professional swimmers but a little impossible for the average person because you never really know how well you’re doing in terms of advancing in the eyes of your managers other than your putting in hard and consistent effort each and everyday and that’s if they even plan to do so.",Ok benefits,Standing for long periods is required.,3,Amazon.com
64,Associate (Former  Employee),Associate ,Former Employee, Joliet, IL ," Joliet, IL "," December 16, 2021",Productive,Productive and work hard get to work on time a lot of overtime I was working overnight shift lots of works. Managers aren’t always nice but some are great job to start off, , ,4,Amazon.com
65,Warehouse Worker (Former  Employee),Warehouse Worker ,Former Employee, Las Vegas, NV ," Las Vegas, NV "," December 16, 2021","People are nice, long hours","Management was nice, tasks were straight forward, standing for 10 hrs was tough. Management showed appreciation by calling you to there quarters and praising you. They encouraged us by handing out goodies.",Benefits,Standing for long period of time,5,Amazon.com
66,Amazon Warehouse Associate (Former  Employee),Amazon Warehouse Associate ,Former Employee, Portland, OR ," Portland, OR "," December 16, 2021",Ok entry level job if you have no experience/education. I enjoyed the people I worked with.,I took the job because they were willing to hire anyone and I didn't have any experience. First day they just threw me into work without properly training or understanding what I was doing. It takes a few weeks to understand all the warehouse tasks but after understanding them it's pretty easy. Over time I really enjoyed the people I worked with. My managers were really nice and understanding.,People I worked with,"Physical labor, chaotic during holiday season",3,Amazon.com
67,Tier 1 Associate (Former  Employee),Tier 1 Associate ,Former Employee, Beloit, WI ," Beloit, WI "," December 16, 2021",HR is a joke,HR is disrespectful and incompetent. You will have to deal with HR more than you think since there are so many issues out of your control. They expect you to do this on your time even though 99% of the issues are their mistakes. Many breaks and lunches spent in line at HR only to be treated like garbage and told they can’t help you. They then pass you over to a call center in India.,Fellow employees,"Long days entirely on your feet, HR will have you wondering why you ever considered working for such a company",2,Amazon.com
68,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Charlotte, NC ," Charlotte, NC "," December 16, 2021",Place to work,They do not care about the person just productivity. You can work hard but not recognize for it. If you give your opinion it doesn’t matter. The saying “it’s the Amazon wa,Insurance,Management is always changing. The don’t care if you have a good work history.,2,Amazon.com
69,Associate (Former  Employee),Associate ,Former Employee, Windsor, CT ," Windsor, CT "," December 16, 2021","Productive, 10-12 hour shifts, night or day, and different schedules to choose from between part-time or full-time.","Good warehouse job. Have a work ethic and you're good. If your're lazy, don't waste your time. On-site HR & safety. Nice benefits, weekly hours cap at 60.","pay, sick time, benefits",hours (for some),4,Amazon.com
70,Phone Sales Associate (Former  Employee),Phone Sales Associate ,Former Employee, On Phones , On Phones , On Phones ," December 16, 2021",Very unorganized. They really need people who know what they are doing on all accounts and fronts.,Very unorganized. They really need people who know what they are doing on all accounts and fronts. Makes it VERY hard on the employee and customer. Needs improvement., , ,3,Amazon.com
71,addetto magazzino (Former  Employee),addetto magazzino ,Former Employee, Roma, Lazio ," Roma, Lazio "," December 16, 2021",ottimo ambiente lavorativo molto stimolante,turno notturno molto piacevole retribuzione ottima ambiente lavorativo buono,buoni pasto retribuzione buona,tempo determinato 3 mesi,5,Amazon.com
72,Amazon Locker (Current  Employee),Amazon Locker ,Current Employee, Metairie, LA ," Metairie, LA "," December 16, 2021",Great company,I work part time at an Amazon Locker. It is a simple enjoy position. I really enjoy interacting with the customers. The position is straight forward. Has slow times and busy times., , ,5,Amazon.com
73,Inbound Stower (Current  Employee),Inbound Stower ,Current Employee, Houston, TX ," Houston, TX "," December 16, 2021",Its repetitive and you are just a number,Its repetitive and you are just a number to them. There aren't usually any opportunities to climb. Most of the regular employees work harder than the managers and ambassadors., , ,3,Amazon.com
